continent	city	pop	individual	site	sample	range
ASI	Tehran	39	5	u	Tehran_39_5	Native
ASI	Tehran	40	2	u	Tehran_40_2	Native
ASI	Tehran	40	9	u	Tehran_40_9	Native
EU	Thessaloniki	42	4	r	Thessa_42_4	Native
EU	Thessaloniki	42	19	r	Thessa_42_19	Native
EU	Thessaloniki	43	10	r	Thessa_43_10	Native
EU	Thessaloniki	43	5	r	Thessa_43_5	Native
EU	Thessaloniki	44	7	r	Thessa_44_7	Native
EU	Thessaloniki	44	2	r	Thessa_44_2	Native
EU	Thessaloniki	45	18	r	Thessa_45_18	Native
EU	Thessaloniki	45	5	r	Thessa_45_5	Native
EU	Thessaloniki	46	13	r	Thessa_46_13	Native
EU	Thessaloniki	46	17	r	Thessa_46_17	Native
EU	Thessaloniki	1	11	u	Thessa_1_11	Native
EU	Thessaloniki	1	1	u	Thessa_1_1	Native
EU	Thessaloniki	2	16	u	Thessa_2_16	Native
EU	Thessaloniki	2	17	u	Thessa_2_17	Native
EU	Thessaloniki	3	18	u	Thessa_3_18	Native
EU	Thessaloniki	3	3	u	Thessa_3_3	Native
EU	Thessaloniki	4	9	u	Thessa_4_9	Native
EU	Thessaloniki	4	17	u	Thessa_4_17	Native
EU	Thessaloniki	5	2	u	Thessa_5_2	Native
EU	Thessaloniki	5	7	u	Thessa_5_7	Native
NAM	Toronto	37	15	NA	s_37_15	Introduced
NAM	Toronto	37	8	NA	s_37_8	Introduced
NAM	Toronto	40	10	NA	s_40_10	Introduced
NAM	Toronto	40	3	NA	s_40_3	Introduced
NAM	Toronto	41	7	NA	s_41_7	Introduced
NAM	Toronto	41	8	NA	s_41_8	Introduced
NAM	Toronto	42	10	NA	s_42_10	Introduced
NAM	Toronto	42	9	NA	s_42_9	Introduced
NAM	Toronto	43	13	NA	s_43_13	Introduced
NAM	Toronto	43	8	NA	s_43_8	Introduced
NAM	Toronto	77	18	NA	s_77_18	Introduced
NAM	Toronto	78	4	NA	s_78_4	Introduced
NAM	Toronto	79	17	NA	s_79_17	Introduced
NAM	Toronto	81	3	NA	s_81_3	Introduced
NAM	Toronto	82	19	NA	s_82_19	Introduced
NAM	Toronto	83	13	NA	s_83_13	Introduced
NAM	Toronto	83	14	NA	s_83_14	Introduced
NAM	Toronto	83	18	NA	s_83_18	Introduced
NAM	Toronto	83	5	NA	s_83_5	Introduced
NAM	Toronto	83	9	NA	s_83_9	Introduced
