city,Mean_annualAI,Mean_annualPET,Mean_DEM,Mean_GMIS,Mean_NDSI,Mean_summerLST,Mean_summerNDVI,Mean_winterLST,Mean_winterNDVI,betaRLM_annualAI,betaRLM_annualPET,betaRLM_DEM,betaRLM_GMIS,betaRLM_NDSI,betaRLM_summerLST,betaRLM_summerNDVI,betaRLM_winterLST,betaRLM_winterNDVI,pvalRLM_annualAI,pvalRLM_annualPET,pvalRLM_DEM,pvalRLM_GMIS,pvalRLM_NDSI,pvalRLM_summerLST,pvalRLM_summerNDVI,pvalRLM_winterLST,pvalRLM_winterNDVI
Santa_Maria,1.227,1359.75,104.375,13.264,-0.474,36.48,0.582,14.214,0.522,0,-18.144,-43.885,-38.136,-0.039,-3.417,0.203,0.437,0.137,0.995,0,0.001,0.011,0.387,0.061,0.091,0.547,0.286
Santiago,0.313,1401.75,620.432,44.278,-0.299,38.008,0.322,12.641,0.257,0.11,5.167,-179.683,-75.136,-0.31,-2.079,0.275,-0.151,0.271,0,0.024,0,0,0,0.032,0,0.702,0
Sapporo,1.5,770.091,9.318,26.011,0.708,34.215,0.487,-5.203,-0.013,0.016,7.511,-12.663,-74.726,-0.067,-10.465,0.419,-2.944,-0.02,0,0,0,0,0,0,0,0,0.045
Seattle,1.329,799.075,100.05,31.663,-0.201,33.699,0.522,-0.968,0.497,0.423,29.539,103.581,-57.454,0.318,-8.272,0.431,-3.962,0.324,0,0.021,0,0,0.005,0,0,0,0.001
Shanghai,0.989,1029.951,4.976,25.219,-0.262,40.236,0.526,6.649,0.323,-0.152,1.091,-1.601,-26.578,-0.001,-2.681,-0.049,-0.315,-0.01,0,0.325,0.224,0.006,0.989,0.078,0.58,0.308,0.875
Sioux_Falls,0.636,989.421,448.838,21.671,0.54,35.02,0.588,-6.612,0.054,-0.005,6.679,-10.755,-47.68,0.118,-7.907,0.248,-0.933,-0.021,0.007,0,0.181,0,0.023,0,0,0.002,0.092
St_Albert,0.658,704.775,658.3,19.483,0.685,30.07,0.629,-21.339,0.024,0.002,-6.353,10.119,-28.503,0.035,0.102,0.045,-3.402,-0.039,0.07,0,0,0,0.117,0.913,0.338,0,0.062
St_Louis,0.836,1165.15,157.625,34.152,0.222,35.997,0.555,-2.011,0.148,0.013,37.361,3.03,-53.515,-0.217,-9.902,0.403,-2.332,0.137,0,0,0.789,0,0.003,0,0,0,0
Starkville,1.047,1350.875,105.15,19.916,-0.475,40.392,0.491,11.077,0.368,-0.009,3.625,-31.192,-57.327,-0.124,-3.697,0.232,0.743,0.18,0,0,0,0,0,0.005,0,0.055,0
Stockholm,0.923,569.4,38.044,33.168,0.588,36.23,0.511,-14.492,0.025,0.004,-3.319,21.603,-54.528,0.011,-3.712,0.191,-2.52,0.082,0.011,0,0,0,0.684,0.002,0.004,0,0
Stratford,1.122,858.84,363.88,25.599,0.621,31.386,0.471,-10.051,0.016,-0.001,0,1.548,-57.442,0.218,-0.33,0.084,-2.435,-0.013,0.003,0.556,0.236,0,0,0.761,0.264,0,0.422
Stuttgart,0.938,779.28,392.78,23.43,0.32,35.624,0.602,-4.772,0.192,0.137,-26.075,204.542,-35.684,0.912,-7.579,0.185,-1.226,-0.209,0,0,0,0,0,0,0.001,0,0
Sudbury,1.089,764.15,262.9,55.347,0.781,40.915,0.359,-15.831,0.011,0.033,-8.73,24.687,-42.612,0.025,-6.254,0.285,-3.413,0.022,0,0,0.001,0.036,0.21,0,0.003,0,0.356
Tacoma,1.183,881.7,99.275,43.966,-0.336,36.359,0.414,0.679,0.422,0.03,-2.324,70.081,-71.324,-0.168,-4.723,0.384,-2.749,0.338,0,0.326,0,0,0.003,0,0,0,0
Talca,0.569,1367.825,105.85,32.592,-0.37,35.832,0.352,12.391,0.416,0.053,-29.11,21.093,-81.141,-0.212,1.692,0.159,1.571,0.411,0,0,0,0,0,0.088,0.019,0,0
Tampa,0.84,1506.933,31.533,40.22,-0.429,35.576,0.509,23.549,0.407,0.031,100.367,34.512,-13.004,-0.19,-7.811,0.195,-0.977,0.007,0.134,0,0,0.53,0.036,0.001,0.155,0.348,0.933
Tehran,0.15,1401.425,1096,47.452,-0.245,47.579,0.336,7.521,0.212,-0.06,134.938,-275.315,-10.723,-0.089,5.495,0.082,2.481,0.105,0,0,0,0.417,0.029,0.016,0.353,0.01,0.108
Temuco,1.062,1107.54,93.283,37.799,-0.336,29.163,0.387,4.744,0.422,-0.164,-9.105,-57.826,-73.852,-0.249,-1.484,0.227,0.539,0.421,0,0,0,0,0,0.086,0,0.336,0
Thessaloniki,0.395,1125.773,29.364,76.801,-0.279,35.36,0.288,12.074,0.238,-0.012,5.132,-54.353,-28.611,-0.207,0.315,0.158,0.697,0.217,0,0.002,0,0.011,0,0.697,0.005,0.121,0
Tokyo,1.365,1008.42,24.18,52.193,-0.349,30.882,0.511,9.716,0.319,-0.301,69.895,-11.355,-29.864,-0.189,-3.077,0.112,0.411,-0.008,0,0,0.041,0.006,0,0.01,0.164,0.223,0.896
Toluca,0.641,1411.636,2663.273,66.252,-0.326,39.462,0.298,25.456,0.203,0.174,68.117,-17.473,-56.024,-0.193,-4.325,0.218,-1.882,0.143,0,0.027,0.674,0.001,0,0.008,0.009,0.1,0.015
Toronto,0.944,845.182,191.033,34.301,0.643,31.603,0.48,-9.479,0.012,0.023,9.939,63.636,-69.487,0.211,-7.297,0.285,-5.72,-0.049,0,0.027,0,0,0,0,0,0,0
Trondheim,1.822,481.22,53,53.531,0.585,29.756,0.477,-5.452,-0.017,0.019,-16.034,122.354,-64.035,0.902,-5.985,0.435,-5.083,-0.019,0.003,0,0,0,0,0,0,0,0.652
Uppsala,0.987,563.487,29.974,18.523,-0.413,28.495,0.659,1.576,0.452,0.011,0.245,22.431,-44.477,-0.004,-7.084,0.332,-0.63,0.468,0,0.437,0,0,0.892,0,0,0.013,0
Uruapan,0.972,1638.65,1645.737,65.446,-0.354,38.909,0.299,26.844,0.329,-0.047,-1.357,128.606,-67.493,-0.168,-7.067,0.377,-4.795,0.443,0,0.768,0,0,0,0,0,0,0
Vancouver,1.711,766,61.6,33.097,-0.355,37.922,0.47,3.086,0.418,-0.332,56.908,-24.09,-51.626,-0.172,-2.816,0.201,-3.742,0.201,0,0,0.318,0,0,0.091,0,0,0
Victoria,1.136,714.425,44.925,20.544,-0.423,33.512,0.548,3.729,0.542,0.369,15.86,48.817,-44.573,-0.195,-4.715,0.28,-3.728,0.321,0,0,0,0,0,0,0,0,0
Warsaw,0.679,738.24,93.94,27.168,0.448,38.102,0.547,-11.194,0.155,0.017,1.909,19.772,-51.223,0.354,-1.249,0.151,-2.256,-0.116,0,0.002,0,0,0,0.179,0.004,0,0.008
Washington,0.909,1125.956,90.8,18.731,0.709,31.639,0.655,-4.154,0.035,-0.003,-26.682,121.83,-40.992,-0.016,-6.704,0.28,-2.605,0.019,0.662,0,0,0,0.627,0,0,0,0.445
Waterloo,1.107,850.267,366.1,26.609,0.539,30.99,0.542,-10.248,0.061,0.054,-12.584,83.543,-51.377,0.457,-3.138,0.077,-2.956,-0.142,0,0,0,0,0,0.006,0.256,0,0
Whitchurch-Stouffville,0.961,829.84,258.24,32.809,0.797,32.053,0.514,-19.896,-0.028,-0.022,4.93,-20.6,-63.505,0.014,-5.188,0.189,-1.863,0.006,0,0,0,0,0.58,0,0.032,0,0.697
Winnipeg,0.672,767.093,232.279,22.243,0.653,36.412,0.542,-16.794,0.015,-0.014,4.009,-0.836,-53.911,0.038,-6.873,0.254,-3.112,-0.043,0,0,0.294,0,0.056,0,0,0,0.002
Wollongong,1.183,1157.6,46.75,13.565,-0.421,35.224,0.508,13.061,0.495,-0.147,34.98,18.323,-24.123,-0.151,0.748,0.205,-0.01,0.079,0,0,0.254,0,0,0.536,0.007,0.982,0.255
Woodstock,1.06,874.033,301.393,39.039,0.637,37.588,0.475,-11.744,-0.01,0.003,0.842,-13.601,-94.487,0.152,-11.719,0.445,-4.767,0.02,0.041,0.256,0,0,0.001,0,0,0,0.121
Wuhan,1.125,1134.317,31.024,20.371,-0.203,35.864,0.44,12.949,0.177,0.023,-0.072,6.149,-36.764,-0.413,5.589,-0.015,5.804,-0.074,0.001,0.919,0.202,0.004,0,0.015,0.847,0,0.032
Xalapa,1.252,1315.174,1428.565,30.387,-0.456,35.381,0.504,23.615,0.522,0.035,14.96,17.302,-86.058,-0.214,-8.725,0.451,-4.047,0.402,0.359,0.204,0.75,0,0.003,0.003,0.008,0.014,0.015
Zurich,1.428,760.925,462.1,22.621,-0.049,34.582,0.553,3.956,0.309,-0.052,3.296,36.899,-52.155,0.681,-10.07,0.224,-3.607,-0.077,0.025,0.575,0.092,0,0,0,0.001,0,0.385
