continent,name,city,row,column,pop,individual,site,original comments,Qubit_ng.ul Ext 1,Number that need to be rextracted:,,Qubit_ng.ul Ext 2 (SK),
EU,Munich,MUC,e,4,3,3,r,left off 3.2,3.96,,,,
EU,Munich,MUC,f,4,4,20,r,,2.86,,,,
EU,Munich,MUC,g,4,4,18,r,,11.7,,,,
EU,Munich,MUC,h,4,4,16,r,,4.62,,,,
EU,Munich,MUC,a,5,4,15,r,,4.84,,,,
EU,Munich,MUC,b,5,4,13,r,,1.67,,,,
EU,Munich,MUC,c,5,4,11,r,,3.2,,,,
EU,Munich,MUC,d,5,4,7,r,,3.91,,,,
EU,Munich,MUC,e,5,4,6,r,,14.5,,,,
EU,Munich,MUC,f,5,4,4,r,,0,,,,
EU,Munich,MUC,g,5,4,2,r,,6.81,,,,
EU,Munich,MUC,h,5,5,19,r,,0,,,,
EU,Munich,MUC,a,6,5,18,r,,1.95,,,,
EU,Munich,MUC,b,6,5,16,r,,3.32,,,,
EU,Munich,MUC,c,6,5,15,r,,0,,,,
EU,Munich,MUC,d,6,5,13,r,,1.6,,,,
EU,Munich,MUC,e,6,5,12,r,,1.11,,,,
EU,Munich,MUC,f,6,5,11,r,,21.2,,,,
EU,Munich,MUC,g,6,5,10,r,,6.19,,,,
EU,Munich,MUC,h,6,5,1,r,left off 5.2,10.1,,,,
EU,Munich,MUC,a,7,47,20,u,,5.63,,,,
EU,Munich,MUC,b,7,47,18,u,,7.73,,,,
EU,Munich,MUC,c,7,47,17,u,,9.33,,,,
EU,Munich,MUC,d,7,47,16,u,,3.91,,,,
EU,Munich,MUC,e,7,47,15,u,,3.11,,,,
EU,Munich,MUC,f,7,47,11,u,,2.26,,,,
EU,Munich,MUC,g,7,47,10,u,,27.6,,,,
EU,Munich,MUC,h,7,47,8,u,,8.79,,,,
EU,Munich,MUC,a,8,47,6,u,,14.9,,,,
EU,Munich,MUC,b,8,47,1,u,,5.86,,,,
EU,Munich,MUC,c,8,48,20,u,,3.61,,,,
EU,Munich,MUC,d,8,48,19,u,,19.4,,,,
EU,Munich,MUC,e,8,48,18,u,left off 48.17,3.35,,,,
EU,Munich,MUC,f,8,48,15,u,,1.88,,,,
EU,Munich,MUC,g,8,48,13,u,,9.94,,,,
EU,Munich,MUC,h,8,48,12,u,little leaf left,37,,,,
EU,Munich,MUC,a,9,48,8,u,,11.2,,,,
EU,Munich,MUC,b,9,48,7,u,,1.38,,,,
EU,Munich,MUC,c,9,48,4,u,,3.8,,,,
EU,Munich,MUC,d,9,49,20,u,,2.5,,,,
EU,Munich,MUC,e,9,49,19,u,,2.28,,,,
EU,Munich,MUC,f,9,49,18,u,,3.69,,,,
EU,Munich,MUC,g,9,49,17,u,,9.97,,,,
EU,Munich,MUC,h,9,49,12,u,,2.68,,,,
EU,Munich,MUC,a,10,49,10,u,,3.57,,,,
EU,Munich,MUC,b,10,49,8,u,,7.12,,,,
EU,Munich,MUC,c,10,49,4,u,left off 49.5,4.14,,,,
EU,Munich,MUC,d,10,49,1,u,,1.18,,,,
EU,Munich,MUC,e,10,50,1,u,little tissue left,4.4,,,,
EU,Munich,MUC,f,10,50,17,u,,8.36,,,,
EU,Munich,MUC,g,10,50,16,u,,29.2,,,,
EU,Munich,MUC,h,10,50,15,u,,12.4,,,,
EU,Munich,MUC,a,11,50,14,u,,9.36,,,,
EU,Munich,MUC,b,11,50,13,u,,23.3,,,,
EU,Munich,MUC,c,11,50,8,u,,9.47,,,,
EU,Munich,MUC,d,11,50,7,u,,8.16,,,,
EU,Munich,MUC,e,11,50,4,u,,5.39,,,,
EU,Munich,MUC,f,11,50,3,u,little tissue left,16.7,,,,
EU,Munich,MUC,g,11,51,1,u,,0,,,,
EU,Munich,MUC,h,11,51,16,u,,13.5,,,,
EU,Munich,MUC,a,12,51,15,u,,7.19,,,,
EU,Munich,MUC,b,12,51,13,u,,11.1,,,,
EU,Munich,MUC,c,12,51,10,u,used all tissue,4.9,,,,
EU,Munich,MUC,d,12,51,9,u,,3.18,,,,
EU,Munich,MUC,e,12,51,8,u,,59.2,,,,
EU,Munich,MUC,f,12,51,6,u,,4.74,,,,
EU,Munich,MUC,g,12,51,4,u,,0,,,,
EU,Munich,MUC,h,12,51,2,u,,0,,,,
EU,Paris,PRS,a,1,2,1,u,,8.62,0,,,
EU,Paris,PRS,b,1,2,2,u,,15.9,,,,
EU,Paris,PRS,c,1,2,3,u,,6.89,,,,
EU,Paris,PRS,d,1,2,8,u,,27.4,,,,
EU,Paris,PRS,e,1,2,9,u,,8.14,,,,
EU,Paris,PRS,f,1,2,10,u,,16,,,,
EU,Paris,PRS,g,1,2,12,u,,18.9,,,,
EU,Paris,PRS,h,1,2,14,u,,10.7,,,,
EU,Paris,PRS,a,2,2,16,u,,10.8,,,,
EU,Paris,PRS,b,2,2,17,u,,8.22,,,,
EU,Paris,PRS,c,2,3,5,u,,2.37,,,,
EU,Paris,PRS,d,2,3,8,u,,24.6,,,,
EU,Paris,PRS,e,2,3,7,u,,7.97,,,,
EU,Paris,PRS,f,2,3,9,u,,20.2,,,,
EU,Paris,PRS,g,2,3,1,u,,8.56,,,,
EU,Paris,PRS,h,2,3,2,u,,13.7,,,,
EU,Paris,PRS,a,3,3,4,u,,8.11,,,,
EU,Paris,PRS,b,3,3,11,u,,6.68,,,,
EU,Paris,PRS,c,3,3,3,u,,10.5,,,,
EU,Paris,PRS,d,3,3,6,u,,9.31,,,,
EU,Paris,PRS,e,3,23,1,u,,17.7,,,,
EU,Paris,PRS,f,3,23,10,u,,8.91,,,,
EU,Paris,PRS,g,3,23,15,u,,4.35,,,,
EU,Paris,PRS,h,3,23,3,u,,18.5,,,,
EU,Paris,PRS,a,4,23,4,u,,9.06,,,,
EU,Paris,PRS,b,4,23,5,u,,8.89,,,,
EU,Paris,PRS,c,4,23,2,u,,18.7,,,,
EU,Paris,PRS,d,4,23,6,u,,21.1,,,,
EU,Paris,PRS,e,4,23,13,u,left off 23.19,4.11,,,,
EU,Paris,PRS,f,4,25,4,u,,8.68,,,,
EU,Paris,PRS,g,4,25,6,u,,17.1,,,,
EU,Paris,PRS,h,4,25,15,u,,36.6,,,,
EU,Paris,PRS,a,5,25,10,u,,16.3,,,,
EU,Paris,PRS,b,5,25,3,u,,12.1,,,,
EU,Paris,PRS,c,5,25,13,u,,15.8,,,,
EU,Paris,PRS,d,5,25,1,u,,15.5,,,,
EU,Paris,PRS,e,5,25,5,u,,16.2,,,,
EU,Paris,PRS,f,5,25,12,u,,11.6,,,,
EU,Paris,PRS,g,5,25,2,u,,10.3,,,,
EU,Paris,PRS,h,5,39,1,u,,19.5,,,,
EU,Paris,PRS,a,6,39,2,u,,12.4,,,,
EU,Paris,PRS,b,6,39,19,u,,7.31,,,,
EU,Paris,PRS,c,6,39,7,u,,9.84,,,,
EU,Paris,PRS,d,6,39,15,u,,10.6,,,,
EU,Paris,PRS,e,6,39,3,u,,9.31,,,,
EU,Paris,PRS,f,6,39,6,u,,26.2,,,,
EU,Paris,PRS,g,6,39,5,u,,12.2,,,,
EU,Paris,PRS,h,6,39,4,u,,17.3,,,,
EU,Paris,PRS,a,7,6,1,r,,3.68,,,,
EU,Paris,PRS,b,7,6,5,r,,2.17,,,,
EU,Paris,PRS,c,7,6,3,r,,1.04,,,,
EU,Paris,PRS,d,7,6,7,r,,2.96,,,,
EU,Paris,PRS,e,7,6,2,r,,2.99,,,,
EU,Paris,PRS,f,7,6,4,r,,13.7,,,,
EU,Paris,PRS,g,7,6,6,r,,8.34,,,,
EU,Paris,PRS,h,7,6,8,r,,28.3,,,,
EU,Paris,PRS,a,8,6,15,r,,7.72,,,,
EU,Paris,PRS,b,8,6,10,r,,2.11,,,,
EU,Paris,PRS,c,8,8,4,r,,0,,,,
EU,Paris,PRS,d,8,8,6,r,,1.07,,,,
EU,Paris,PRS,e,8,8,15,r,,7.55,,,,
EU,Paris,PRS,f,8,8,8,r,,1.55,,,,
EU,Paris,PRS,g,8,8,3,r,,4.99,,,,
EU,Paris,PRS,h,8,8,10,r,,16.5,,,,
EU,Paris,PRS,a,9,8,9,r,,7.22,,,,
EU,Paris,PRS,b,9,8,16,r,,2.2,,,,
EU,Paris,PRS,c,9,8,13,r,left off 8.2,0,,,,
EU,Paris,PRS,d,9,13,20,r,,2.19,,,,
EU,Paris,PRS,e,9,13,15,r,,7.46,,,,
EU,Paris,PRS,f,9,13,13,r,,0,,,,
EU,Paris,PRS,g,9,13,16,r,,20,,,,
EU,Paris,PRS,h,9,13,18,r,,10.2,,,,
EU,Paris,PRS,a,10,13,11,r,,13,,,,
EU,Paris,PRS,b,10,13,9,r,,25.7,,,,
EU,Paris,PRS,c,10,13,2,r,,3.22,,,,
EU,Paris,PRS,d,10,13,3,r,,17,,,,
EU,Paris,PRS,e,10,13,1,r,,18.1,,,,
EU,Paris,PRS,f,10,11,18,r,,6.3,,,,
EU,Paris,PRS,g,10,11,19,r,,18,,,,
EU,Paris,PRS,h,10,11,16,r,,22.5,,,,
EU,Paris,PRS,a,11,11,14,r,,12.3,,,,
EU,Paris,PRS,b,11,11,10,r,,7.75,,,,
EU,Paris,PRS,c,11,11,12,r,,1.54,,,,
EU,Paris,PRS,d,11,11,8,r,,2.83,,,,
EU,Paris,PRS,e,11,11,9,r,,3.5,,,,
EU,Paris,PRS,f,11,11,7,r,,1.08,,,,
EU,Paris,PRS,g,11,11,6,r,,18.6,,,,
EU,Paris,PRS,h,11,15,2,r,,7.87,,,,
EU,Paris,PRS,a,12,15,3,r,,5.56,,,,
EU,Paris,PRS,b,12,15,5,r,,11.4,,,,
EU,Paris,PRS,c,12,15,8,r,,7.69,,,,
EU,Paris,PRS,d,12,15,9,r,,9.54,,,,
EU,Paris,PRS,e,12,15,11,r,,3.88,,,,
EU,Paris,PRS,f,12,15,12,r,,3.91,,,,
EU,Paris,PRS,g,12,15,13,r,,10.4,,,,
EU,Paris,PRS,h,12,15,14,r,left off 15.17,18.9,,,,
EU,Thessaloniki,THE,a,1,1,1,u,,13.2,48,,,
EU,Thessaloniki,THE,b,1,1,2,u,,7.62,,,,
EU,Thessaloniki,THE,c,1,1,3,u,,11.1,,,,
EU,Thessaloniki,THE,d,1,1,6,u,,28.3,,,,
EU,Thessaloniki,THE,e,1,1,10,u,,17.9,,,,
EU,Thessaloniki,THE,f,1,1,11,u,,8.67,,,,
EU,Thessaloniki,THE,g,1,1,14,u,,2.18,,,,
EU,Thessaloniki,THE,h,1,1,15,u,,13.8,,,,
EU,Thessaloniki,THE,a,2,1,16,u,,52.4,,,,
EU,Thessaloniki,THE,b,2,1,17,u,,27,,,,
EU,Thessaloniki,THE,c,2,2,1,u,,32.6,,,,
EU,Thessaloniki,THE,d,2,2,4,u,,8.18,,,,
EU,Thessaloniki,THE,e,2,2,6,u,,58.8,,,,
EU,Thessaloniki,THE,f,2,2,7,u,,8.04,,,,
EU,Thessaloniki,THE,g,2,2,9,u,,36.9,,,,
EU,Thessaloniki,THE,h,2,2,13,u,,40.2,,,,
EU,Thessaloniki,THE,a,3,2,14,u,,3.4,,,,
EU,Thessaloniki,THE,b,3,2,16,u,,8.15,,,,
EU,Thessaloniki,THE,c,3,2,17,u,,12.1,,,,
EU,Thessaloniki,THE,d,3,2,19,u,,2.16,,,,
EU,Thessaloniki,THE,e,3,3,3,u,,11.4,,,,
EU,Thessaloniki,THE,f,3,3,4,u,,5.94,,,,
EU,Thessaloniki,THE,g,3,3,7,u,,3.52,,,,
EU,Thessaloniki,THE,h,3,3,8,u,,13,,,,
EU,Thessaloniki,THE,a,4,3,9,u,,3.35,,,,
EU,Thessaloniki,THE,b,4,3,12,u,,4.65,,,,
EU,Thessaloniki,THE,c,4,3,13,u,,4.07,,,,
EU,Thessaloniki,THE,d,4,3,18,u,left off 3.16,29.1,,,,
EU,Thessaloniki,THE,e,4,3,19,u,,to low,,,,
EU,Thessaloniki,THE,f,4,4,2,u,,0,,,,
EU,Thessaloniki,THE,g,4,4,4,u,,24.2,,,,
EU,Thessaloniki,THE,h,4,4,6,u,,28.2,,,,
EU,Thessaloniki,THE,a,5,4,9,u,,10.5,,,,
EU,Thessaloniki,THE,b,5,4,8,u,,4.6,,,,
EU,Thessaloniki,THE,c,5,4,13,u,,1.31,,,,
EU,Thessaloniki,THE,d,5,4,15,u,,1.63,,,,
EU,Thessaloniki,THE,e,5,4,17,u,,21.8,,,,
EU,Thessaloniki,THE,f,5,4,18,u,,1.48,,,,
EU,Thessaloniki,THE,g,5,4,19,u,,6.6,,,,
EU,Thessaloniki,THE,h,5,5,2,u,,12.4,,,,
EU,Thessaloniki,THE,a,6,5,5,u,,5.83,,,,
EU,Thessaloniki,THE,b,6,5,6,u,,1.77,,,,
EU,Thessaloniki,THE,c,6,5,7,u,,2.06,,,,
EU,Thessaloniki,THE,d,6,5,12,u,,1.28,,,,
EU,Thessaloniki,THE,e,6,5,13,u,,1.78,,,,
EU,Thessaloniki,THE,f,6,5,14,u,,16.5,,,,
EU,Thessaloniki,THE,g,6,5,15,u,,4.62,,,,
EU,Thessaloniki,THE,h,6,5,20,u,,0,,,,
EU,Thessaloniki,THE,a,7,42,2,r,,22.7,,,,
EU,Thessaloniki,THE,b,7,42,4,r,,1.32,,,,
EU,Thessaloniki,THE,c,7,42,8,r,,1.31,,,,
EU,Thessaloniki,THE,d,7,42,10,r,,1.68,,,,
EU,Thessaloniki,THE,e,7,42,13,r,,1.31,,,,
EU,Thessaloniki,THE,f,7,42,16,r,,3.23,,,,
EU,Thessaloniki,THE,g,7,42,17,r,,27.4,,,,
EU,Thessaloniki,THE,h,7,42,18,r,,2.91,,,,
EU,Thessaloniki,THE,a,8,42,19,r,,10.6,,,,
EU,Thessaloniki,THE,b,8,42,20,r,,1.13,,,,
EU,Thessaloniki,THE,c,8,43,3,r,,3.61,,,,
EU,Thessaloniki,THE,d,8,43,4,r,,3.07,,,,
EU,Thessaloniki,THE,e,8,43,5,r,,1.25,,,,
EU,Thessaloniki,THE,f,8,43,6,r,,12.7,,,,
EU,Thessaloniki,THE,g,8,43,8,r,,0,,,,
EU,Thessaloniki,THE,h,8,43,10,r,,22.5,,,,
EU,Thessaloniki,THE,a,9,43,12,r,,to low,,,,
EU,Thessaloniki,THE,b,9,43,13,r,,4.31,,,,
EU,Thessaloniki,THE,c,9,43,15,r,only took 9 individuals for pop 43,1.15,,,,
EU,Thessaloniki,THE,d,9,44,1,r,,1.83,,,,
EU,Thessaloniki,THE,e,9,44,2,r,,4.21,,,,
EU,Thessaloniki,THE,f,9,44,5,r,,0,,,,
EU,Thessaloniki,THE,g,9,44,7,r,,16.3,,,,
EU,Thessaloniki,THE,h,9,44,8,r,,0,,,,
EU,Thessaloniki,THE,a,10,44,10,r,,12.1,,,,
EU,Thessaloniki,THE,b,10,44,13,r,,6.31,,,,
EU,Thessaloniki,THE,c,10,44,14,r,,2.34,,,,
EU,Thessaloniki,THE,d,10,44,17,r,,5.8,,,,
EU,Thessaloniki,THE,e,10,44,19,r,,11,,,,
EU,Thessaloniki,THE,f,10,45,2,r,,6.11,,,,
EU,Thessaloniki,THE,g,10,45,3,r,,8.33,,,,
EU,Thessaloniki,THE,h,10,45,5,r,,39.7,,,,
EU,Thessaloniki,THE,a,11,45,7,r,,8.83,,,,
EU,Thessaloniki,THE,b,11,45,10,r,,13.4,,,,
EU,Thessaloniki,THE,c,11,45,13,r,,78,,,,
EU,Thessaloniki,THE,d,11,45,15,r,,5.12,,,,
EU,Thessaloniki,THE,e,11,45,17,r,,32.1,,,,
EU,Thessaloniki,THE,f,11,45,18,r,,10.4,,,,
EU,Thessaloniki,THE,g,11,46,2,r,,6.6,,,,
EU,Thessaloniki,THE,h,11,46,4,r,,21,,,,
EU,Thessaloniki,THE,a,12,46,5,r,,19.3,,,,
EU,Thessaloniki,THE,b,12,46,10,r,,25.8,,,,
EU,Thessaloniki,THE,c,12,46,12,r,,10.6,,,,
EU,Thessaloniki,THE,d,12,46,13,r,,0,,,,
EU,Thessaloniki,THE,e,12,46,15,r,,8.71,,,,
EU,Thessaloniki,THE,f,12,46,17,r,,14.6,,,,
EU,Thessaloniki,THE,g,12,46,18,r,,12.9,,,,
EU,Thessaloniki,THE,h,12,46,20,r,,4.21,,,,
EU,Almada,ALM,a,1,1,4,u,Need to correct population numbers; have asked them for correct #,3.07,48,,,
EU,Almada,ALM,b,1,1,1,u,,2.53,,,,
EU,Almada,ALM,c,1,1,2,u,,9.32,,,,
EU,Almada,ALM,d,1,1,3,u,,5.84,,,,
EU,Almada,ALM,e,1,1,5,u,,39,,,,
EU,Almada,ALM,f,1,1,6,u,,7.93,,,,
EU,Almada,ALM,g,1,1,7,u,,8.4,,,,
EU,Almada,ALM,h,1,1,8,u,,6.08,,,,
EU,Almada,ALM,a,2,1,9,u,,14.6,,,,
EU,Almada,ALM,b,2,1,10,u,,11.6,,,,
EU,Almada,ALM,c,2,2,1,u,,3.74,,,,
EU,Almada,ALM,d,2,2,2,u,,12,,,,
EU,Almada,ALM,e,2,2,3,u,,0.922,,,,
EU,Almada,ALM,f,2,2,4,u,,5.96,,,,
EU,Almada,ALM,g,2,2,5,u,,17.2,,,,
EU,Almada,ALM,h,2,2,7,u,,7.04,,,,
EU,Almada,ALM,a,3,2,8,u,wet,0,,,,
EU,Almada,ALM,b,3,2,9,u,,34.1,,,,
EU,Almada,ALM,c,3,2,10,u,left off 2.6,11.7,,,,
EU,Almada,ALM,d,3,3,1,u,,35.6,,,,
EU,Almada,ALM,e,3,3,2,u,,8.43,,,,
EU,Almada,ALM,f,3,3,3,u,,7.47,,,,
EU,Almada,ALM,g,3,3,4,u,,6.91,,,,
EU,Almada,ALM,h,3,3,5,u,,14.6,,,,
EU,Almada,ALM,a,4,3,6,u,wet,1.01,,,,
EU,Almada,ALM,b,4,3,7,u,,1.81,,,,
EU,Almada,ALM,c,4,3,8,u,,12,,,,
EU,Almada,ALM,d,4,3,9,u,,12.4,,,,
EU,Almada,ALM,e,4,3,10,u,,16.8,,,,
EU,Almada,ALM,f,4,4,1,u,,3.97,,,,
EU,Almada,ALM,g,4,4,2,u,,7.86,,,,
EU,Almada,ALM,h,4,4,3,u,,14.6,,,,
EU,Almada,ALM,a,5,4,4,u,,13,,,,
EU,Almada,ALM,b,5,4,5,u,,15.5,,,,
EU,Almada,ALM,c,5,4,6,u,wet,7.56,,,,
EU,Almada,ALM,d,5,4,7,u,wet,21.8,,,,
EU,Almada,ALM,e,5,4,8,u,wet,23.7,,,,
EU,Almada,ALM,f,5,4,9,u,wet,2.19,,,,
EU,Almada,ALM,g,5,5,1,u,,3.64,,,,
EU,Almada,ALM,h,5,5,2,u,,13,,,,
EU,Almada,ALM,a,6,5,3,u,,8.33,,,,
EU,Almada,ALM,b,6,5,4,u,,4.52,,,,
EU,Almada,ALM,c,6,5,5,u,,33.5,,,,
EU,Almada,ALM,d,6,5,6,u,,6.1,,,,
EU,Almada,ALM,e,6,5,7,u,,7.16,,,,
EU,Almada,ALM,f,6,5,8,u,,15,,,,
EU,Almada,ALM,g,6,5,9,u,,8.17,,,,
EU,Almada,ALM,h,6,5,10,u,,25.3,,,,
EU,Almada,ALM,a,7,1,1,r,,2.02,,,,
EU,Almada,ALM,b,7,1,2,r,,3.68,,,,
EU,Almada,ALM,c,7,1,3,r,wet,1.23,,,,
EU,Almada,ALM,d,7,1,4,r,wet,21.3,,,,
EU,Almada,ALM,e,7,1,5,r,wet,8.31,,,,
EU,Almada,ALM,f,7,1,6,r,,87,,,,
EU,Almada,ALM,g,7,1,7,r,wet,25.1,,,,
EU,Almada,ALM,h,7,1,8,r,,24,,,,
EU,Almada,ALM,a,8,1,9,r,,4.24,,,,
EU,Almada,ALM,b,8,1,10,r,,4.57,,,,
EU,Almada,ALM,c,8,2,1,r,,7,,,,
EU,Almada,ALM,d,8,2,2,r,,49.9,,,,
EU,Almada,ALM,e,8,2,3,r,,15,,,,
EU,Almada,ALM,f,8,2,4,r,,19.3,,,,
EU,Almada,ALM,g,8,2,5,r,,5.64,,,,
EU,Almada,ALM,h,8,2,6,r,,5.2,,,,
EU,Almada,ALM,a,9,2,7,r,,23.7,,,,
EU,Almada,ALM,b,9,2,8,r,,28.6,,,,
EU,Almada,ALM,c,9,2,9,r,,5.59,,,,
EU,Almada,ALM,d,9,2,10,r,wet,11.5,,,,
EU,Almada,ALM,e,9,3,1,r,,20.6,,,,
EU,Almada,ALM,f,9,3,2,r,,4.62,,,,
EU,Almada,ALM,g,9,3,3,r,,7.23,,,,
EU,Almada,ALM,h,9,3,4,r,,12.4,,,,
EU,Almada,ALM,a,10,3,5,r,,11.6,,,,
EU,Almada,ALM,b,10,3,7,r,,16.3,,,,
EU,Almada,ALM,c,10,3,8,r,,8.34,,,,
EU,Almada,ALM,d,10,3,9,r,,7.59,,,,
EU,Almada,ALM,e,10,3,10,r,,7.38,,,,
EU,Almada,ALM,f,10,4,1,r,,13.3,,,,
EU,Almada,ALM,g,10,4,2,r,,7.1,,,,
EU,Almada,ALM,h,10,4,3,r,,3.44,,,,
EU,Almada,ALM,a,11,4,4,r,,16.6,,,,
EU,Almada,ALM,b,11,4,5,r,,28.1,,,,
EU,Almada,ALM,c,11,4,6,r,,35.1,,,,
EU,Almada,ALM,d,11,4,7,r,,9.27,,,,
EU,Almada,ALM,e,11,4,8,r,,23.1,,,,
EU,Almada,ALM,f,11,4,9,r,,25.3,,,,
EU,Almada,ALM,g,11,4,10,r,,56.7,,,,
EU,Almada,ALM,h,11,5,1,r,,18.1,,,,
EU,Almada,ALM,a,12,5,2,r,,7.51,,,,
EU,Almada,ALM,b,12,5,3,r,,10.5,,,,
EU,Almada,ALM,c,12,5,4,r,,8.6,,,,
EU,Almada,ALM,d,12,5,5,r,,13.2,,,,
EU,Almada,ALM,e,12,5,6,r,,8.59,,,,
EU,Almada,ALM,f,12,5,7,r,,13.2,,,,
EU,Almada,ALM,g,12,5,9,r,,18.7,,,,
EU,Almada,ALM,h,12,5,10,r,,3.43,,,,
EU,Reading,RDG,a,1,2,3,u,not enough tissue left for another extraction,33.7,73,,,
EU,Reading,RDG,b,1,2,14,u,,46.3,,,,
EU,Reading,RDG,c,1,2,8,u,,9.26,,,,
EU,Reading,RDG,d,1,2,10,u,,6.66,,,,
EU,Reading,RDG,e,1,2,6,u,used all tissue,27.4,,,,
EU,Reading,RDG,f,1,2,9,u,,39.5,,,,
EU,Reading,RDG,g,1,2,11,u,,5.01,,,,
EU,Reading,RDG,h,1,2,7,u,left off 2.4,3.79,,,,
EU,Reading,RDG,a,2,2,15,u,used all tissue,20.6,,,,
EU,Reading,RDG,b,2,3,11,u,little tissue left,8.28,,,,
EU,Reading,RDG,c,2,3,15,u,little tissue left,3.4,,,,
EU,Reading,RDG,d,2,3,9,u,very little tissue left,3.88,,,,
EU,Reading,RDG,e,2,3,13,u,used all tissue,10.7,,,,
EU,Reading,RDG,f,2,3,4,u,little tissue left,2.79,,,,
EU,Reading,RDG,g,2,3,2,u,used all tissue,8.49,,,,
EU,Reading,RDG,h,2,3,7,u,used all tissue,6.14,,,,
EU,Reading,RDG,a,3,3,5,u,used all tissue,7.72,,,,
EU,Reading,RDG,b,3,3,14,u,little tissue left,1.19,,,,
EU,Reading,RDG,c,3,4,12,u,little tissue left,22.3,,,,
EU,Reading,RDG,d,3,4,9,u,little tissue left,7.79,,,,
EU,Reading,RDG,e,3,4,6,u,little tissue left,3.14,,,,
EU,Reading,RDG,f,3,4,10,u,,30.2,,,,
EU,Reading,RDG,g,3,4,7,u,used all tissue,0,,,,
EU,Reading,RDG,h,3,4,1,u,little tissue left,5.22,,,,
EU,Reading,RDG,a,4,4,15,u,very little tissue left,6.56,,,,
EU,Reading,RDG,b,4,4,5,u,,8.03,,,,
EU,Reading,RDG,c,4,4,3,u,,3.35,,,,
EU,Reading,RDG,d,4,4,4,u,,5.8,,,,
EU,Reading,RDG,e,4,5,8,u,,3.24,,,,
EU,Reading,RDG,f,4,5,3,u,,2.42,,,,
EU,Reading,RDG,g,4,5,5,u,,4.01,,,,
EU,Reading,RDG,h,4,5,15,u,,8.58,,,,
EU,Reading,RDG,a,5,5,10,u,,2.14,,,,
EU,Reading,RDG,b,5,5,11,u,used all tissue,14.1,,,,
EU,Reading,RDG,c,5,5,12,u,used all tissue,7.51,,,,
EU,Reading,RDG,d,5,5,9,u,used all tissue,8.61,,,,
EU,Reading,RDG,e,5,5,14,u,little tissue left,22.1,,,,
EU,Reading,RDG,f,5,5,7,u,used all tissue,14.5,,,,
EU,Reading,RDG,g,5,6,6,u,,3.05,,,,
EU,Reading,RDG,h,5,6,7,u,used all tissue,3.48,,,,
EU,Reading,RDG,a,6,6,15,u,little tissue left,2.51,,,,
EU,Reading,RDG,b,6,6,4,u,little tissue left,1.34,,,,
EU,Reading,RDG,c,6,6,1,u,used all tissue,7.39,,,,
EU,Reading,RDG,d,6,6,3,u,little tissue left,1.22,,,,
EU,Reading,RDG,e,6,6,8,u,,3.85,,,,
EU,Reading,RDG,f,6,6,14,u,used all tissue,0,,,,
EU,Reading,RDG,g,6,6,5,u,used all tissue,3.6,,,,
EU,Reading,RDG,h,6,6,2,u,,2.91,,,,
EU,Reading,RDG,a,7,39,7,r,,5.71,,,,
EU,Reading,RDG,b,7,39,11,r,,2.09,,,,
EU,Reading,RDG,c,7,39,10,r,,1.31,,,,
EU,Reading,RDG,d,7,39,15,r,,3.21,,,,
EU,Reading,RDG,e,7,39,14,r,,2.38,,,,
EU,Reading,RDG,f,7,39,8,r,,4.12,,,,
EU,Reading,RDG,g,7,39,13,r,,4.26,,,,
EU,Reading,RDG,h,7,39,2,r,,1.68,,,,
EU,Reading,RDG,a,8,39,9,r,,5.12,,,,
EU,Reading,RDG,b,8,39,1,r,little tissue left,2.74,,,,
EU,Reading,RDG,c,8,40,15,r,,3.94,,,,
EU,Reading,RDG,d,8,40,10,r,used all tissue,21.4,,,,
EU,Reading,RDG,e,8,40,6,r,,0,,,,
EU,Reading,RDG,f,8,40,3,r,,3.02,,,,
EU,Reading,RDG,g,8,40,7,r,,1.06,,,,
EU,Reading,RDG,h,8,40,12,r,little tissue left,4.18,,,,
EU,Reading,RDG,a,9,40,5,r,used all tissue,28.2,,,,
EU,Reading,RDG,b,9,40,1,r,used all tissue,0,,,,
EU,Reading,RDG,c,9,40,14,r,left off 40.4,7.13,,,,
EU,Reading,RDG,d,9,41,9,r,,2.06,,,,
EU,Reading,RDG,e,9,41,8,r,,1.83,,,,
EU,Reading,RDG,f,9,41,3,r,,1.81,,,,
EU,Reading,RDG,g,9,41,11,r,,1.65,,,,
EU,Reading,RDG,h,9,41,13,r,,3.02,,,,
EU,Reading,RDG,a,10,41,2,r,not much left,1.49,,,,
EU,Reading,RDG,b,10,41,4,r,,1.29,,,,
EU,Reading,RDG,c,10,41,7,r,,4.28,,,,
EU,Reading,RDG,d,10,41,14,r,,1.07,,,,
EU,Reading,RDG,e,10,41,5,r,,1.84,,,,
EU,Reading,RDG,f,10,42,1,r,,0,,,,
EU,Reading,RDG,g,10,42,15,r,,0,,,,
EU,Reading,RDG,h,10,42,13,r,,5.9,,,,
EU,Reading,RDG,a,11,42,12,r,,32,,,,
EU,Reading,RDG,b,11,42,9,r,,1.25,,,,
EU,Reading,RDG,c,11,42,8,r,,4.28,,,,
EU,Reading,RDG,d,11,42,10,r,,7.99,,,,
EU,Reading,RDG,e,11,42,3,r,,5.38,,,,
EU,Reading,RDG,f,11,42,4,r,,0,,,,
EU,Reading,RDG,g,11,42,2,r,,5.98,,,,
EU,Reading,RDG,h,11,43,7,r,,1.57,,,,
EU,Reading,RDG,a,12,43,1,r,,7.3,,,,
EU,Reading,RDG,b,12,43,13,r,little tissue left,3.48,,,,
