city,interceptLinOnly,betaLinOnly,pvalLinOnly,rSquaredLinOnly,direction,sigLinOnly,betaRLM_freqHCN,pvalRLM_freqHCN,sigRLM,modelOrderBestFit,betaBestFit,pvalBestFit,rSquareBestFit,yIntBestFit,predictedBestFit,continent,Mean_annualAI,Mean_annualPET,Mean_DEM,Mean_GMIS,Mean_NDSI,Mean_summerLST,Mean_summerNDVI,Mean_winterLST,Mean_winterNDVI,betaRLM_annualAI,betaRLM_annualPET,betaRLM_DEM,betaRLM_GMIS,betaRLM_NDSI,betaRLM_summerLST,betaRLM_summerNDVI,betaRLM_winterLST,betaRLM_winterNDVI,pvalRLM_annualAI,pvalRLM_annualPET,pvalRLM_DEM,pvalRLM_GMIS,pvalRLM_NDSI,pvalRLM_summerLST,pvalRLM_summerNDVI,pvalRLM_winterLST,pvalRLM_winterNDVI,latitude_city,longitude_city,city_population,city_area,city_num,city_age
Lansing,0.187,-0.008,0.903,0,negative,No,0.015,0.824,No,linear,-0.008,0.903,0,0.187,0.179,North America,0.832,952.525,265.625,30.068,0.723,35.996,0.567,-16.636,0.013,0.008,2.724,10.904,-68.548,0.026,-7.813,0.375,-4.291,-0.03,0,0,0,0,0.213,0,0,0,0.029,42.733771,-84.555381,114253,279.43,3,NA
Lanzhou,0.638,-0.123,0.168,0.052,negative,No,-0.127,0.164,No,quadratic,-1.422,0.001,0.289,0.835,0.567,Asia,0.332,1049.079,1726.941,36.681,0.032,35.235,0.256,-2.056,0.07,0.054,-97.162,262.934,-71.412,0.495,-1.301,0.067,-4.675,0.024,0,0,0,0,0,0.596,0.553,0,0.644,36.057812,103.825896,2438595,245.24,4,83
Latacunga,0.242,0.224,0.12,0.063,positive,No,0.232,0.062,No,linear,0.224,0.12,0.063,0.242,0.466,South America,0.52,1258.825,2963.9,18.928,-0.406,36.579,0.443,29.916,0.439,0.342,-141.116,424.208,-53.424,-0.137,-3.413,0.228,-0.265,0.259,0,0,0,0,0,0.019,0,0.801,0,-0.933613,-78.614884,63842,15.84,3,NA
Leiden,0.027,0.204,0.027,0.129,positive,Yes,0.155,0.074,No,linear,0.204,0.027,0.129,0.027,0.231,Europe,1.269,621.053,-0.421,31.813,0.568,33.746,0.463,2.018,0.083,-0.009,5.332,-7.152,-94.471,0.583,-2.743,0.315,-2.031,-0.124,0,0,0,0,0,0.001,0,0,0,52.161091,4.49015,270225,72.12,8,214
Leuven,0.248,0.115,0.343,0.03,positive,No,0.081,0.513,No,linear,0.115,0.343,0.03,0.248,0.363,Europe,1.057,751.75,39.969,41.149,-0.366,44.66,0.421,6.211,0.378,0.053,-12.512,44.336,-49.752,-0.092,-3.252,0.07,-1.057,0.216,0,0,0,0,0,0.008,0.201,0,0,50.879829,4.70054,95463,42.91,8,NA
Linkoping,-0.04,0.272,0,0.313,positive,Yes,0.194,0,Yes,quadratic,-0.355,0.105,0.439,0.055,0.36,Europe,0.908,611.682,68.886,18.68,NaN,34.003,0.601,NaN,NaN,0.012,-3.278,15.266,-46.946,NA,-3.097,0.168,NA,NA,0,0,0,0,NA,0.004,0.004,NA,NA,58.411801,15.621772,116368,41.36,2,NA
Lisbon,0.937,-0.319,0.052,0.081,negative,No,-0.103,0.233,No,linear,-0.319,0.052,0.081,0.937,0.619,Europe,0.786,975.468,133.022,48.896,-0.375,33.602,0.367,12.485,0.439,0.245,-133.639,233.453,-69.417,-0.165,-0.866,0.162,2.78,0.35,0,0,0,0,0,0.375,0.015,0,0,38.711136,-9.127747,552700,409.62,6,386
Little_Rock,0.235,0.398,0.008,0.194,positive,Yes,0.42,0.002,Yes,linear,0.398,0.008,0.194,0.235,0.633,North America,0.962,1313.229,96.314,32.502,-0.431,41.001,0.524,15.328,0.313,-0.005,2.658,-34.089,-45.954,-0.172,-11.66,0.318,-3.276,0.194,0.086,0.011,0,0,0,0,0,0,0,34.744641,-92.27467,193490,435.75,3,43
Loja,0.099,0.158,0.036,0.11,positive,Yes,0.156,0.024,Yes,quadratic,-0.508,0.063,0.248,0.194,0.37,South America,0.801,1332.775,2145.5,51.761,-0.443,30.921,0.401,28.137,0.456,0.079,-28.136,129.29,-120.331,-0.143,-3.671,0.424,-6.082,0.463,0,0,0,0,0,0,0,0,0,-3.997781,-79.202452,170280,25.58,1,20
London,0.298,-0.02,0.796,0.002,negative,No,0.001,0.984,No,quadratic,0.639,0.034,0.131,0.191,0.162,North America,1.081,876.85,268.95,39.937,0.454,40.919,0.458,-7.679,0.059,0.006,-2.817,29.525,-104.808,0.106,-13.533,0.438,-1.073,0.077,0,0,0,0,0.055,0,0,0.001,0,42.98427,-81.24753,383437,196.42,2,62
Los_Angeles,0.408,0.062,0.547,0.009,positive,No,0.111,0.263,No,linear,0.062,0.547,0.009,0.408,0.471,North America,0.305,1322.881,207.476,57.605,-0.298,39.698,0.316,26.861,0.351,0.016,102.458,229.048,-41.724,-0.181,2.065,0.113,0.225,0.155,0.033,0,0,0,0,0.063,0.015,0.716,0.003,34.050249,-118.254907,3792820,5378.66,6,118
Louisville,0.192,-0.036,0.608,0.006,negative,No,-0.023,0.752,No,linear,-0.036,0.608,0.006,0.192,0.155,North America,0.978,1180.239,174.795,34.951,0.404,35.444,0.566,0.657,0.181,0.05,22.921,106.223,-78.253,0.319,-11.453,0.42,-0.988,0.016,0,0,0,0,0.012,0,0,0.063,0.841,38.256606,-85.756595,595386,849.9,3,142
Madison,0.104,0.057,0.148,0.043,positive,No,0.069,0.094,No,linear,0.057,0.148,0.043,0.104,0.161,North America,0.843,957.56,277.68,32.198,0.744,34.995,0.523,-12.201,0.007,0.017,-5.998,42.147,-73.784,0.081,-10.656,0.429,-5.41,-0.025,0,0,0,0,0.004,0,0,0,0.052,43.074761,-89.383761,233163,247.36,4,55
Manchester,0.265,0.2,0.123,0.061,positive,No,0.19,0.15,No,linear,0.2,0.123,0.061,0.265,0.466,Europe,1.355,644.95,62.308,15.86,-0.423,35.598,0.6,7.844,0.574,-0.062,-29.486,55.552,-36.861,-0.104,-5.255,0.254,-0.775,0.248,0,0,0,0,0,0,0,0,0,53.480759,-2.242631,510746,647.75,11,202
Medellin,0.091,-0.102,0.031,0.117,negative,Yes,-0,0.269,No,linear,-0.102,0.031,0.117,0.091,-0.012,South America,1.165,1579.875,1604.7,47.187,-0.365,31.362,0.44,34.352,0.418,0.532,-255.682,365.085,-61.755,-0.141,-9.757,0.284,-11.092,0.262,0,0,0,0,0.001,0,0,0,0,6.249957,-75.566258,2382399,176.89,2,97
Melbourne,0.49,0.286,0.072,0.107,positive,No,0.26,0.099,No,linear,0.286,0.072,0.107,0.49,0.776,Oceania,0.543,1092.194,33.774,11.959,-0.414,29.129,0.466,13.564,0.559,-0.141,-39.404,-1.492,-13.823,-0.116,7.16,-0.046,1.722,0.048,0,0,0.862,0.048,0,0,0.431,0,0.491,-37.814218,144.963161,4196201,1903.15,4,155
Memphis,0.223,0.42,0,0.383,positive,Yes,0.436,0,Yes,linear,0.42,0,0.383,0.223,0.643,North America,1.029,1250.46,83.143,34.708,-0.43,39.266,0.518,5.514,0.287,0.007,7.433,6.393,-84.921,-0.292,-13.467,0.568,-2.043,0.3,0.001,0,0.154,0,0,0,0,0,0,35.149022,-90.051629,651885,898.09,3,104
Mexico_City,0.802,-0.056,0.777,0.003,negative,No,-0.103,0.559,No,linear,-0.056,0.777,0.003,0.802,0.745,North America,0.632,1524.697,2529.394,39.041,-0.378,36.421,0.445,22.181,0.394,0.773,-484.261,1266.242,-45.682,-0.281,-7.062,0.171,0.194,0.085,0,0,0,0.002,0,0.013,0.08,0.919,0.446,19.432608,-99.133209,8421000,1579.06,4,205
Minneapolis,0.031,0.044,0.297,0.026,positive,No,0.018,0.512,No,linear,0.044,0.297,0.026,0.031,0.075,North America,0.825,914.75,288.523,30.305,0.675,40.079,0.601,-19.057,0.066,0.042,9.29,80.734,-58.443,-0.012,-15.528,0.349,-1.574,-0.003,0,0,0,0,0.828,0,0,0,0.91,44.9773,-93.265469,382603,1442.55,4,131
Moncton,0.121,0.011,0.81,0.002,positive,No,0.008,0.856,No,quadratic,0.342,0.032,0.121,0.077,0.067,North America,1.393,817.775,18.75,40.632,0.599,33.198,0.558,-11.15,0.059,-0.001,1.338,16.763,-72.797,0.133,-9.681,0.347,-2.091,0.058,0.772,0,0,0,0.013,0,0,0,0.002,46.088879,-64.775818,108620,85.71,1,NA
Montreal,0.475,-0.058,0.57,0.007,negative,No,-0.079,0.482,No,linear,-0.058,0.57,0.007,0.475,0.417,North America,1.149,832.551,38.327,50.786,0.761,34.413,0.454,-14.987,-0.001,-0.037,-11.9,4.85,-87.339,0.121,-12.521,0.498,-7.56,-0.003,0,0,0.483,0,0.002,0,0,0,0.857,45.50169,-73.567253,1782844,1048.97,5,152
Morelia,0.35,0.323,0.057,0.092,positive,No,0.323,0.057,No,linear,0.323,0.057,0.092,0.35,0.674,North America,0.512,1592.225,1916.41,42.86,-0.374,39.363,0.352,23.523,0.331,0.025,21.366,5.39,-45.631,-0.124,-2.998,0.176,-2.586,0.188,0,0,0.504,0.001,0,0.047,0.003,0.009,0.002,19.702692,-101.194984,901782,130.19,1,52
Muenster,0.036,0.501,0,0.276,positive,Yes,0.467,0.001,Yes,linear,0.501,0,0.276,0.036,0.537,Europe,1.125,707.2,56.925,13.586,-0.459,33.645,0.644,7.779,0.437,-0.024,2.588,-15.391,-42.262,-0.075,-2.955,0.098,-3.25,0.225,0,0,0,0,0,0.014,0.104,0,0,51.962126,7.624724,314319,65.07,10,86
Munich,0.243,0.086,0.335,0.019,positive,No,0.092,0.274,No,linear,0.086,0.335,0.019,0.243,0.328,Europe,1.191,771.196,516.098,44.109,-0.514,36.487,0.549,2.528,0.446,-0.031,-5.889,-20.839,-52.88,0.063,-7.308,0.349,-1.726,0.255,0,0,0,0,0.019,0,0,0,0,48.135124,11.581981,1471508,401.94,3,161
New_Tecumseth,0.355,-0.085,0.432,0.035,negative,No,-0.043,0.413,No,linear,-0.085,0.432,0.035,0.355,0.27,North America,0.967,858.4,218.9,39.985,0.664,31.136,0.545,-18.206,0.019,-0.011,0.314,-2.429,-24.542,-0.037,-4.18,0.075,-0.99,0.023,0,0.394,0.29,0.125,0.098,0.044,0.511,0.038,0.328,44.15399,-79.86921,18809,10.36,5,NA
New_York,0.092,0.169,0.013,0.127,positive,Yes,0.165,0.011,Yes,linear,0.169,0.013,0.127,0.092,0.261,North America,1.218,974.021,69.167,28.485,0.384,30.247,0.609,-11.008,0.174,0.091,36.486,140.307,-38.016,-0.211,-3.656,0.278,-3.061,0.198,0,0,0,0.006,0.008,0.005,0.004,0,0,40.730862,-73.987156,8174988,3296.97,7,201
Newcastle,0.389,0.3,0.089,0.066,positive,No,0.303,0.098,No,linear,0.3,0.089,0.066,0.389,0.69,Oceania,0.893,1214.267,39.867,27.318,-0.393,35.594,0.422,11.838,0.483,-0.312,172.888,-77.81,-34.071,-0.05,0.444,0.024,-0.405,0.071,0,0,0.005,0.008,0.321,0.624,0.792,0.371,0.402,-32.928278,151.781667,322279,194.25,3,73
Newhaven,0.151,0.151,0.024,0.127,positive,Yes,0.163,0.018,Yes,linear,0.151,0.024,0.127,0.151,0.301,North America,1.239,957.675,94.075,20.182,0.102,35.848,0.669,-1.16,0.186,0.186,-15.064,257.787,-29.569,0.429,-5.875,0.189,-5.817,-0.047,0,0,0,0.001,0,0.001,0.009,0,0.305,NA,NA,NA,NA,NA,NA
Norfolk,0.242,0.336,0.001,0.253,positive,Yes,0.353,0.001,Yes,linear,0.336,0.001,0.253,0.242,0.579,North America,1.045,1115.775,7.175,40.304,0.693,34.534,0.491,-6.574,0.056,0.024,35.03,-1.385,-84.192,0.033,-10.384,0.453,-3.225,0.055,0,0,0.194,0,0.454,0,0,0,0.038,36.845714,-76.288634,242827,703.07,2,79
Norrtalje,0.145,-0.019,0.806,0.002,negative,No,-0.11,0.008,Yes,linear,-0.019,0.806,0.002,0.145,0.126,Europe,0.95,544.389,16.722,18.049,-0.407,36.93,0.511,1.718,0.377,0,-5.606,-7.027,-60.593,-0.127,-5.034,0.27,-0.048,0.177,0.81,0,0.022,0,0,0,0,0.792,0.001,59.759724,18.701071,56080,8.49,2,NA
North_Bay,0.303,-0.034,0.722,0.003,negative,No,-0.023,0.801,No,linear,-0.034,0.722,0.003,0.303,0.27,North America,1.203,767.956,229.644,26.064,0.684,27.354,0.612,-17.208,0.09,0.041,-14.081,75.139,-67.245,-0.053,-12.258,0.381,-5.354,0.16,0,0,0,0,0.154,0,0,0,0,46.309116,-79.460823,50396,40.2,1,NA
Orangeville,0.335,0.057,0.574,0.011,positive,No,0.055,0.676,No,linear,0.057,0.574,0.011,0.335,0.392,North America,1.15,813.567,477.3,23.051,0.689,31.182,0.525,-13.112,0.014,0.06,-12.378,73.747,-62.357,0.16,-4.923,0.086,-4.786,-0.041,0,0,0,0,0.002,0.003,0.133,0,0.019,43.91924,-80.09741,30734,18.82,4,NA
Ottawa,0.262,0.044,0.705,0.004,positive,No,0.023,0.835,No,quadratic,-0.849,0.055,0.115,0.406,0.478,North America,1.077,807.1,84.7,31.249,0.688,33.488,0.559,-14.411,0.056,0.02,-9.051,28.254,-38.007,-0.046,-6.989,0.3,-3.901,0.017,0,0,0,0.001,0.488,0,0,0,0.612,45.421532,-75.697189,989567,401.57,3,100
Palmerston_North,0.548,0.414,0,0.547,positive,Yes,0.405,0,Yes,linear,0.414,0,0.547,0.548,0.963,Oceania,0.995,935.05,31.667,31.446,-0.359,35.335,0.569,9.584,0.603,-0.111,1.46,-3.306,-75.135,-0.17,-3.645,0.346,-0.111,0.35,0,0.001,0,0,0,0.001,0,0.601,0,-40.356317,175.611239,75400,36.89,1,NA
Paris,0.667,-0.059,0.568,0.007,negative,No,-0.087,0.447,No,linear,-0.059,0.568,0.007,0.667,0.609,Europe,0.8,808.245,103.939,37.01,-0.354,28.203,0.57,4.353,0.395,0.065,-45.438,124.861,-68.914,-0.191,-4.513,0.308,-2.655,0.297,0,0,0,0,0,0.001,0,0,0,48.856613,2.352222,2187526,1751.72,3,780
Parramata,0.136,0.857,0,0.562,positive,Yes,0.876,0,Yes,quadratic,2.109,0,0.651,-0.073,0.796,Oceania,0.69,1298.825,36.725,25.953,-0.413,34.768,0.408,9.546,0.418,-0.14,107.31,-17.011,-43.877,-0.105,1.587,0.003,-1.196,0.017,0,0,0.008,0,0,0.016,0.95,0.001,0.75,-33.814999,151.001114,25798,1618.04,3,NA
Philadelphia,0.211,-0.031,0.627,0.006,negative,No,-0.012,0.87,No,linear,-0.031,0.627,0.006,0.211,0.18,North America,1.091,1037.05,89.05,56.136,0.187,32.485,0.531,7.423,0.113,0.066,-21.642,155.528,-131.903,1.088,-11.375,0.63,-8.892,-0.162,0,0,0,0,0,0,0,0,0,39.951061,-75.165619,1526009,2424.4,5,179
Pittsburgh,0.191,0.07,0.324,0.026,positive,No,0.095,0.169,No,linear,0.07,0.324,0.026,0.191,0.261,North America,0.929,1051.675,332.625,30.668,0.285,31.224,0.598,1.916,0.167,0.092,-47.109,105.032,-68.338,-0.616,-7.701,0.457,1.465,0.299,0,0,0,0,0,0,0,0.004,0,40.440588,-80.002597,305376,1199.77,2,141
Port_Hope,0.192,0.149,0.106,0.109,positive,No,0.129,0.201,No,linear,0.149,0.106,0.109,0.192,0.341,North America,0.989,801.68,88.08,25.897,0.625,32.082,0.538,-9.246,0.061,-0.006,6.785,0.364,-47.527,0.05,-6.12,0.22,-1.352,-0.019,0.028,0,0.939,0,0.206,0,0.007,0,0.522,43.951562,-78.294127,12587,10.31,2,NA
Portland,0.18,0.007,0.91,0,positive,No,0.007,0.915,No,linear,0.007,0.91,0,0.18,0.187,North America,1.197,964.725,50.95,36.759,-0.295,35.384,0.492,0.95,0.446,0.376,7.126,29.804,-79.776,-0.03,-10.497,0.408,-1.952,0.356,0,0.017,0.022,0,0.616,0,0,0,0,45.516022,-122.681427,583792,1017.18,2,115
Portlandme,0.172,-0.016,0.809,0.002,negative,No,-0.028,0.67,No,linear,-0.016,0.809,0.002,0.172,0.157,North America,1.297,882.175,31.2,19.714,0.166,31.406,0.622,-0.996,0.249,0.033,-15.471,27.506,-46.135,0.329,-10.592,0.255,-3.169,0.147,0,0,0.003,0,0.02,0,0.009,0,0.077,43.656679,-70.253452,66194,102.19,5,NA
Providence,0.136,0.117,0.031,0.109,positive,Yes,0.117,0.039,Yes,linear,0.117,0.031,0.109,0.136,0.254,North America,1.208,967.047,18.349,31.835,-0.132,34.669,0.501,-1.735,0.256,0.032,-24.963,-4.391,-60.639,0.345,-11.223,0.414,-2.94,0.132,0,0,0.321,0,0,0,0,0,0.004,41.823989,-71.412834,177844,596.25,5,126
Punta_Arenas,0.589,0.211,0.008,0.162,positive,Yes,0.218,0.007,Yes,linear,0.211,0.008,0.162,0.589,0.8,South America,0.706,580.5,20.524,NaN,-0.332,21.148,0.424,0.991,0.267,-0.144,13.3,5.471,NA,-0.203,-3.278,0.381,0.936,0.194,0,0,0.355,NA,0,0,0,0.002,0,-53.162989,-70.908124,124169,24.45,1,NA
Quebec_City,0.381,0.071,0.4,0.018,positive,No,0.075,0.388,No,linear,0.071,0.4,0.018,0.381,0.452,North America,1.461,764.667,59.786,33.827,0.642,33.49,0.52,-13.812,-0.008,-0.02,4.866,-47.175,-70.257,0.311,-10.101,0.352,-2.495,-0.045,0.002,0.001,0,0,0,0,0,0,0,46.813751,-71.206166,705103,360.06,1,93
Quito,0.098,0.055,0.554,0.009,positive,No,-0.005,0.928,No,quadratic,0.981,0.011,0.16,-0.043,0.025,South America,0.708,1461.732,2685.925,64.013,-0.338,35.366,0.279,36.595,0.299,-0.3,176.337,-404.58,9.303,-0.061,5.261,0.005,5.521,-0.07,0,0,0,0.568,0.172,0,0.937,0,0.305,-0.186867,-78.479536,1607734,498.68,1,89
Raleigh,0.376,0.057,0.61,0.007,positive,No,0.089,0.426,No,linear,0.057,0.61,0.007,0.376,0.433,North America,0.897,1269.125,119.825,25.367,0.05,34.874,0.622,-0.385,0.327,-0.007,3.065,29.227,-54.978,-0.354,-7.367,0.397,-1.925,0.341,0.109,0.397,0.02,0,0.002,0,0,0,0,35.774994,-78.640093,404073,1281.85,3,40
Rancagua,0.696,0.012,0.907,0,positive,No,0.056,0.629,No,linear,0.012,0.907,0,0.696,0.708,South America,0.372,1343.513,503.872,NaN,-0.354,35.919,0.336,8.844,0.349,0.035,45.42,-26.374,NA,-0.264,-2.422,0.404,0.686,0.39,0,0,0,NA,0,0.011,0,0.165,0,-34.167702,-70.738297,231890,55.17,1,23
Reading,0.172,0.683,0.001,0.256,positive,Yes,0.702,0,Yes,linear,0.683,0.001,0.256,0.172,0.856,Europe,1.015,707.116,57.953,29.015,-0.446,32.799,0.593,2.381,0.556,0.032,4.979,-0.169,-71.704,-0.071,-4.784,0.276,-0.138,0.324,0,0,0.982,0,0.001,0,0,0.545,0,51.45504,-0.96909,218705,91.31,10,14
Rennes,0.84,-0.013,0.838,0.001,negative,No,-0.009,0.874,No,linear,-0.013,0.838,0.001,0.84,0.828,Europe,0.882,809.095,39.833,24.15,-0.407,34.889,0.553,7.127,0.592,0.012,-0.686,0.801,-71.163,-0.157,-7.29,0.3,-2.236,0.421,0,0.293,0.851,0,0,0,0,0,0,48.111778,-1.68026,216815,119.31,1,62
Reutlingen,0.291,0.246,0.034,0.113,positive,Yes,0.255,0.053,No,quadratic,1.185,0.008,0.222,0.143,0.387,Europe,0.945,783.075,367.975,20,0.396,36.818,0.58,-5.795,0.19,-0.049,2.805,-30.9,-53.445,0.411,-9.026,0.213,-0.505,-0.025,0,0.108,0.001,0,0.005,0,0.002,0.138,0.693,48.491951,9.211414,115966,38.39,7,NA
Rochester,0.132,-0.006,0.941,0,negative,No,-0.002,0.978,No,linear,-0.006,0.941,0,0.132,0.126,North America,0.873,921.707,169.775,37.45,0.643,34.071,0.507,-6.262,0.046,-0.027,1.01,16.353,-82.635,0.135,-12.59,0.462,-3.829,-0.049,0,0.08,0,0,0.031,0,0,0,0.044,43.156139,-77.604917,210565,523.41,1,124
Rockford,0.105,0.021,0.675,0.005,positive,No,0.024,0.623,No,linear,0.021,0.675,0.005,0.105,0.126,North America,0.926,983.85,229.05,21.874,0.796,33.685,0.611,-14.37,-0.023,0.014,3.362,18.08,-43.904,0.093,-9.179,0.356,-5.039,-0.036,0,0,0,0,0,0,0,0,0,42.271395,-89.093966,153283,460.91,6,20
Sacramento,0.363,0.231,0.049,0.096,positive,Yes,0.334,0.002,Yes,linear,0.231,0.049,0.096,0.363,0.594,North America,0.33,1391.024,7.171,53.756,-0.303,41.812,0.376,9.906,0.408,0.008,21.389,-5.405,-7.882,-0.104,1.621,-0.002,0.193,0.123,0,0,0.002,0.338,0.001,0.15,0.958,0.657,0.032,38.581572,-121.4944,466390,932.05,4,68
Saint_Thomas,0.406,-0.091,0.424,0.027,negative,No,-0.122,0.264,No,linear,-0.091,0.424,0.027,0.406,0.315,North America,1.109,857,238.077,36.515,0.534,41.405,0.422,-8.138,0.085,-0.007,5.413,-6.307,-60.11,0.039,-3.684,0.051,-0.198,0.013,0,0,0.001,0,0.54,0.005,0.446,0.538,0.585,42.7787,-81.16585,41813,22.71,3,NA
Salem,0.276,0.187,0.095,0.072,positive,No,0.181,0.111,No,linear,0.187,0.095,0.072,0.276,0.463,North America,0.993,1034.225,50.675,27.862,-0.386,38.369,0.463,3.521,0.482,-0.004,-14.498,6.798,-54.705,-0.157,-2.066,-0.048,-1.26,0.133,0.157,0,0.014,0,0,0.043,0.293,0,0.006,44.941017,-123.038677,154909,330.43,8,13
Santa_Maria,0.564,0.145,0.514,0.031,positive,No,0.159,0.464,No,linear,0.145,0.514,0.031,0.564,0.709,South America,1.227,1359.75,104.375,NaN,-0.474,36.48,0.582,14.214,0.522,0,-18.144,-43.885,NA,-0.039,-3.417,0.203,0.437,0.137,0.995,0,0.001,NA,0.387,0.061,0.091,0.547,0.286,-29.68639,-53.81134,248347,57.74,1,51
Santiago,0.679,0.144,0.029,0.109,positive,Yes,0.153,0.026,Yes,linear,0.144,0.029,0.109,0.679,0.823,South America,0.313,1401.75,620.432,NaN,-0.299,38.008,0.322,12.641,0.257,0.11,5.167,-179.683,NA,-0.31,-2.079,0.275,-0.151,0.271,0,0.024,0,NA,0,0.032,0,0.702,0,-33.442137,-70.645768,5220161,653.94,1,148
Sapporo,0.205,0.111,0.2,0.039,positive,No,0.104,0.198,No,linear,0.111,0.2,0.039,0.205,0.316,Asia,1.5,770.091,9.318,25.977,0.708,34.215,0.487,-5.203,-0.013,0.016,7.511,-12.663,-74.706,-0.067,-10.465,0.419,-2.944,-0.02,0,0,0,0,0,0,0,0,0.045,43.061449,141.354538,1952356,441.56,5,100
Seattle,0.254,0.124,0.168,0.049,positive,No,0.148,0.107,No,linear,0.124,0.168,0.049,0.254,0.377,North America,1.329,799.075,100.05,31.855,-0.201,33.699,0.522,-0.968,0.497,0.433,29.539,103.581,-59.21,0.318,-8.272,0.431,-3.962,0.324,0,0.021,0,0,0.005,0,0,0,0.001,47.606209,-122.332069,608666,2167.94,3,116
Shanghai,0.36,0.755,0,0.461,positive,Yes,0.669,0,Yes,quadratic,3.248,0,0.66,-0.213,0.849,Asia,0.989,1029.951,4.976,25.553,-0.262,40.236,0.526,6.649,0.323,-0.152,1.091,-1.601,-27.623,-0.001,-2.681,-0.049,-0.315,-0.01,0,0.325,0.224,0.01,0.989,0.078,0.58,0.308,0.875,31.230391,121.473701,20217748,9212.14,3,173
Sioux_Falls,0.114,0.074,0.55,0.01,positive,No,-0.025,0.747,No,linear,0.074,0.55,0.01,0.114,0.187,North America,0.636,989.421,448.838,19.998,0.54,35.02,0.588,-6.612,0.054,-0.005,6.679,-10.755,-44.272,0.118,-7.907,0.248,-0.933,-0.021,0.007,0,0.181,0,0.023,0,0,0.002,0.092,43.546026,-96.72826,153972,148.12,1,11
St_Albert,0.152,0.05,0.319,0.026,positive,No,0.064,0.238,No,linear,0.05,0.319,0.026,0.152,0.202,North America,0.658,704.775,658.3,37.475,0.685,30.07,0.629,-21.339,0.024,0.002,-6.353,10.119,167.744,0.035,0.102,0.045,-3.402,-0.039,0.07,0,0,0.052,0.117,0.913,0.338,0,0.062,53.642969,-113.62591,66082,27.49,2,NA
St_Louis,0.192,0.094,0.171,0.049,positive,No,0.112,0.068,No,linear,0.094,0.171,0.049,0.192,0.285,North America,0.836,1165.15,157.625,33.778,0.222,35.997,0.555,-2.011,0.148,0.013,37.361,3.03,-51.951,-0.217,-9.902,0.403,-2.332,0.137,0,0,0.789,0,0.003,0,0,0,0,38.627273,-90.197889,319275,1679.01,3,161
Starkville,0.81,-0.036,0.654,0.005,negative,No,-0.056,0.489,No,linear,-0.036,0.654,0.005,0.81,0.774,North America,1.047,1350.875,105.15,20.335,-0.475,40.392,0.491,11.077,0.368,-0.009,3.625,-31.192,-59.781,-0.124,-3.697,0.232,0.743,0.18,0,0,0,0,0,0.005,0,0.055,0,33.462845,-88.810263,23888,25.08,2,NA
Stockholm,0.115,-0.068,0.26,0.029,negative,No,-0.053,0.152,No,linear,-0.068,0.26,0.029,0.115,0.048,Europe,0.923,569.4,38.044,32.939,0.588,36.23,0.511,-14.492,0.025,0.004,-3.319,21.603,-54.571,0.011,-3.712,0.191,-2.52,0.082,0.011,0,0,0,0.684,0.002,0.004,0,0,59.329323,18.068581,962154,453.5,2,156
Stratford,0.339,0.104,0.246,0.058,positive,No,0.098,0.306,No,linear,0.104,0.246,0.058,0.339,0.443,North America,1.122,858.84,363.88,25.28,0.621,31.386,0.471,-10.051,0.016,-0.001,0,1.548,-55.945,0.218,-0.33,0.084,-2.435,-0.013,0.003,0.556,0.236,0,0,0.761,0.264,0,0.422,43.369952,-80.982084,31053,18.58,3,NA
Stuttgart,0.317,-0.027,0.799,0.001,negative,No,-0.022,0.841,No,linear,-0.027,0.799,0.001,0.317,0.289,Europe,0.938,779.28,392.78,23.281,0.32,35.624,0.602,-4.772,0.192,0.137,-26.075,204.542,-37.527,0.912,-7.579,0.185,-1.226,-0.209,0,0,0,0,0,0,0.001,0,0,48.777111,9.18077,634830,160.13,5,140
Sudbury,0.16,-0.123,0.043,0.209,negative,Yes,-0.137,0.033,Yes,linear,-0.123,0.043,0.209,0.16,0.037,North America,1.089,764.15,262.9,56.042,0.781,40.915,0.359,-15.831,0.011,0.033,-8.73,24.687,-43.252,0.025,-6.254,0.285,-3.413,0.022,0,0,0.001,0.038,0.21,0,0.003,0,0.356,46.492095,-80.993641,161531,123.39,1,21
Tacoma,0.273,-0.044,0.669,0.005,negative,No,-0.033,0.716,No,linear,-0.044,0.669,0.005,0.273,0.229,North America,1.183,881.7,99.275,44.257,-0.336,36.359,0.414,0.679,0.422,0.03,-2.324,70.081,-72.157,-0.168,-4.723,0.384,-2.749,0.338,0,0.326,0,0,0.003,0,0,0,0,47.24958,-122.439875,198243,1764.38,3,57
Talca,0.768,-0.134,0.285,0.03,negative,No,-0.058,0.589,No,linear,-0.134,0.285,0.03,0.768,0.633,South America,0.569,1367.825,105.85,NaN,-0.37,35.832,0.352,12.391,0.416,0.053,-29.11,21.093,NA,-0.212,1.692,0.159,1.571,0.411,0,0,0,NA,0,0.088,0.019,0,0,-35.427525,-71.654907,237295,35.43,1,45
Tampa,1.008,-0.03,0.138,0.161,negative,No,-0,0.204,No,linear,-0.03,0.138,0.161,1.008,0.978,North America,0.84,1506.933,31.533,40.062,-0.429,35.576,0.509,23.549,0.407,0.031,100.367,34.512,-12.795,-0.19,-7.811,0.195,-0.977,0.007,0.134,0,0,0.507,0.036,0.001,0.155,0.348,0.933,27.94742,-82.458778,336154,165.9,5,68
